Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI
15.0,5.0,2022,1,7,118.54,257.73,3.57,24.06,1.24,33.43,295.0
21.0,11.0,2024,0,4,119.66,432.46,42.33,54.18,1.85,35.28,354.0
27.0,10.0,2024,1,7,117.78,371.78,61.47,49.69,1.37,44.82,323.0
5.0,4.0,2024,0,5,66.6,172.58,11.18,26.87,0.63,50.86,161.0
5.0,9.0,2022,0,1,29.88,87.24,7.59,2.47,0.8,17.08,82.0
4.0,1.0,2022,0,2,253.02,318.67,22.38,7.87,2.83,28.56,413.0
11.0,1.0,2022,0,2,93.69,113.94,6.91,7.52,1.22,34.49,231.0
11.0,10.0,2022,0,2,19.98,66.91,10.89,10.66,0.63,34.88,45.0
1.0,6.0,2021,0,2,44.7,108.78,30.79,5.15,0.5,66.73,107.0
24.0,12.0,2024,0,2,88.98,327.4,49.58,62.53,1.29,32.15,303.0
7.0,4.0,2021,0,3,78.51,293.92,9.0,9.48,0.57,39.89,304.0
16.0,6.0,2021,0,3,41.19,92.69,51.18,8.11,0.78,39.87,123.0
7.0,10.0,2024,0,1,32.6,126.42,44.17,42.23,0.39,30.17,109.0
3.0,8.0,2022,0,3,45.03,139.59,10.27,26.28,0.73,52.95,125.0
31.0,5.0,2021,0,1,44.64,125.09,64.13,5.12,0.93,24.98,113.0
20.0,3.0,2023,0,1,49.47,174.17,23.02,17.62,0.84,48.81,174.0
31.0,8.0,2023,0,4,49.55,158.37,15.03,18.97,0.5,26.31,137.0
10.0,8.0,2022,0,3,42.77,93.29,37.23,26.39,0.57,48.26,87.0
3.0,4.0,2024,0,3,97.29,229.66,14.65,26.29,0.87,59.09,146.0
6.0,11.0,2024,0,3,130.42,418.21,72.28,63.23,1.55,9.85,355.0
17.0,9.0,2024,0,2,41.81,151.99,42.71,39.9,0.62,23.8,144.0
15.0,2.0,2024,0,4,73.63,296.8,40.37,23.15,0.77,28.9,234.0
5.0,10.0,2023,0,4,62.15,202.03,28.15,19.48,0.84,73.09,171.0
1.0,7.0,2021,0,4,56.77,289.39,34.89,7.66,0.47,21.55,302.0
27.0,6.0,2021,1,7,72.04,166.74,47.39,9.44,1.02,54.78,150.0
3.0,1.0,2023,0,2,233.25,368.79,11.94,7.57,0.95,47.16,384.0
22.0,2.0,2022,0,2,115.54,268.96,40.22,8.11,1.43,33.75,254.0
28.0,4.0,2021,0,3,237.88,432.09,80.54,28.81,2.82,43.01,321.0
8.0,2.0,2023,0,3,52.13,184.39,6.67,9.59,0.75,21.53,139.0
24.0,11.0,2024,1,7,92.24,331.67,44.93,56.4,2.01,31.83,297.0
17.0,8.0,2024,0,6,13.74,59.91,46.1,35.45,0.6,29.61,58.0
24.0,1.0,2023,0,2,94.94,193.3,15.85,6.38,1.05,9.13,242.0
18.0,2.0,2024,1,7,80.42,323.0,58.36,24.17,1.66,27.38,287.0
4.0,2.0,2021,0,4,134.66,170.25,114.15,3.13,1.04,36.53,352.0
22.0,11.0,2021,0,1,151.6,244.82,10.39,9.0,0.9,34.58,324.0
16.0,7.0,2024,0,2,29.96,72.82,46.26,36.63,0.9,40.61,58.0
5.0,12.0,2021,1,7,231.11,289.04,12.29,6.44,3.3,32.11,345.0
7.0,7.0,2022,0,4,38.57,93.44,21.76,24.26,0.44,26.74,97.0
6.0,9.0,2021,0,1,66.59,94.23,33.14,8.55,1.56,45.01,126.0
28.0,8.0,2024,0,3,12.69,49.17,43.07,37.83,0.56,29.94,54.0
4.0,7.0,2023,0,2,47.58,116.78,18.27,8.41,0.76,43.52,118.0
18.0,1.0,2021,0,1,232.16,318.1,210.31,14.92,1.32,28.17,401.0
12.0,10.0,2024,1,6,43.78,190.88,38.04,39.48,0.47,31.87,162.0
4.0,1.0,2021,0,1,89.55,132.08,153.98,10.42,1.01,49.19,207.0
26.0,5.0,2021,1,3,65.16,149.77,50.38,6.57,0.67,49.01,137.0
26.0,3.0,2022,0,6,91.62,274.15,11.3,11.24,0.75,12.77,220.0
20.0,3.0,2024,0,3,108.1,268.26,32.93,22.81,0.85,37.18,242.0
12.0,7.0,2024,0,5,24.39,100.11,48.13,35.98,0.74,37.25,99.0
28.0,10.0,2021,0,4,166.48,216.63,62.98,5.41,2.07,42.99,168.0
13.0,3.0,2024,0,3,76.89,213.65,29.48,21.97,0.78,34.42,173.0
10.0,10.0,2023,0,2,76.83,249.3,28.16,21.35,1.13,45.64,205.0
25.0,5.0,2022,0,3,91.29,183.36,9.19,4.57,1.2,34.18,202.0
12.0,5.0,2022,0,4,92.97,153.91,2.81,12.21,0.91,49.35,194.0
11.0,4.0,2022,0,1,307.96,358.11,12.42,100.35,1.13,19.98,295.0
11.0,1.0,2023,0,3,189.83,310.04,16.15,4.9,1.17,10.61,288.0
29.0,12.0,2024,1,7,31.21,139.75,27.01,65.94,0.57,35.88,142.0
